feature,auc_with_none,gain,auc_alone
n_ended,0.6647815158546017,-0.029601109585365548,0.49899083763435764
min_refund_last_full,0.6644993844405511,-0.029883240999416083,0.5063538756569914
prim_period_days,0.6643543728396231,-0.03002825260034414,0.522670146945089
prim_last_desc_diff,0.6640012153353221,-0.030381410104645123,0.46758152216803195
live_has_insurance,0.6633748046782518,-0.031007820761715377,0.48145331218334203
prim_median_amount,0.6626596114083685,-0.03172301403159872,0.4783607178370188
prim_refund_last_full,0.6626596114083685,-0.03172301403159872,0.4951011727196679
max_amt_last3_changes,0.6625372886973814,-0.03184533674258583,0.49212399577000177
prim_next_dom,0.660914539829853,-0.03346808561011416,0.5256226620578626
max_refund_last2_full,0.6606294489953755,-0.03375317644459175,0.506813572296668
min_next_dom,0.6605406663825623,-0.03384195905740495,0.5242208832488913
prim_first_dom,0.6597317581324873,-0.034650867307479905,0.4946572596556024
prim_phase,0.6594663967675237,-0.03491622867244348,0.5357961630127689
min_days_to_next,0.6488075508625724,-0.04557507457739485,0.4940387407863377
prim_days_to_next,0.6488075508625724,-0.04557507457739485,0.4940387407863377
