cutoff,min_payments,min_payments_before,churn,none_share,rule_macro_f1,none_gap,rule_gap,verdict
2025-10-03,8,3,0.2,0.4840,0.6927,0.1855,0.1681,fail
2025-10-03,9,3,0.2,0.5355,0.6284,0.2370,0.1039,fail
2025-10-03,10,3,0.2,0.6105,0.5609,0.3120,0.0363,fail
2025-10-03,2,0,0.25,0.3235,0.4953,0.0250,-0.0292,pass
2025-10-03,3,0,0.25,0.3455,0.5244,0.0470,-0.0001,pass
2025-10-03,4,0,0.25,0.3685,0.5598,0.0700,0.0352,fail
2025-10-03,5,0,0.25,0.3950,0.5929,0.0965,0.0684,fail
2025-10-03,6,0,0.25,0.4395,0.6468,0.1410,0.1223,fail
2025-10-03,7,0,0.25,0.4810,0.6619,0.1825,0.1374,fail
2025-10-03,8,0,0.25,0.5190,0.6691,0.2205,0.1445,fail
2025-10-03,9,0,0.25,0.5670,0.6049,0.2685,0.0804,fail
2025-10-03,10,0,0.25,0.6350,0.5412,0.3365,0.0167,fail
2025-10-03,2,1,0.25,0.3500,0.5300,0.0515,0.0055,fail
2025-10-03,3,1,0.25,0.3570,0.5397,0.0585,0.0152,fail
2025-10-03,4,1,0.25,0.3705,0.5632,0.0720,0.0387,fail
2025-10-03,5,1,0.25,0.3960,0.5936,0.0975,0.0691,fail
2025-10-03,6,1,0.25,0.4405,0.6475,0.1420,0.1230,fail
2025-10-03,7,1,0.25,0.4810,0.6619,0.1825,0.1374,fail
2025-10-03,8,1,0.25,0.5190,0.6691,0.2205,0.1445,fail
2025-10-03,9,1,0.25,0.5670,0.6049,0.2685,0.0804,fail
2025-10-03,10,1,0.25,0.6350,0.5412,0.3365,0.0167,fail
2025-10-03,3,2,0.25,0.3795,0.5784,0.0810,0.0539,fail
2025-10-03,4,2,0.25,0.3875,0.5889,0.0890,0.0644,fail
2025-10-03,5,2,0.25,0.4010,0.5996,0.1025,0.0751,fail
2025-10-03,6,2,0.25,0.4425,0.6488,0.1440,0.1243,fail
2025-10-03,7,2,0.25,0.4820,0.6626,0.1835,0.1381,fail
2025-10-03,8,2,0.25,0.5190,0.6691,0.2205,0.1445,fail
2025-10-03,9,2,0.25,0.5670,0.6049,0.2685,0.0804,fail
2025-10-03,10,2,0.25,0.6350,0.5412,0.3365,0.0167,fail
2025-10-03,4,3,0.25,0.4250,0.6451,0.1265,0.1206,fail
2025-10-03,5,3,0.25,0.4295,0.6441,0.1310,0.1196,fail
2025-10-03,6,3,0.25,0.4435,0.6524,0.1450,0.1278,fail
2025-10-03,7,3,0.25,0.4820,0.6634,0.1835,0.1388,fail
2025-10-03,8,3,0.25,0.5190,0.6691,0.2205,0.1445,fail
2025-10-03,9,3,0.25,0.5670,0.6049,0.2685,0.0804,fail
2025-10-03,10,3,0.25,0.6350,0.5412,0.3365,0.0167,fail
2025-10-03,2,0,0.3,0.3665,0.4828,0.0680,-0.0417,fail
2025-10-03,3,0,0.3,0.3865,0.5095,0.0880,-0.0151,fail
2025-10-03,4,0,0.3,0.4080,0.5436,0.1095,0.0191,fail
2025-10-03,5,0,0.3,0.4335,0.5748,0.1350,0.0503,fail
2025-10-03,6,0,0.3,0.4750,0.6261,0.1765,0.1016,fail
2025-10-03,7,0,0.3,0.5125,0.6386,0.2140,0.1141,fail
2025-10-03,8,0,0.3,0.5485,0.6469,0.2500,0.1223,fail
2025-10-03,9,0,0.3,0.5945,0.5848,0.2960,0.0603,fail
2025-10-03,10,0,0.3,0.6595,0.5195,0.3610,-0.0050,fail
2025-10-03,2,1,0.3,0.3905,0.5140,0.0920,-0.0105,fail
2025-10-03,3,1,0.3,0.3970,0.5234,0.0985,-0.0011,fail
2025-10-03,4,1,0.3,0.4100,0.5462,0.1115,0.0217,fail
2025-10-03,5,1,0.3,0.4345,0.5754,0.1360,0.0509,fail
2025-10-03,6,1,0.3,0.4760,0.6268,0.1775,0.1023,fail
2025-10-03,7,1,0.3,0.5125,0.6386,0.2140,0.1141,fail
2025-10-03,8,1,0.3,0.5485,0.6469,0.2500,0.1223,fail
2025-10-03,9,1,0.3,0.5945,0.5848,0.2960,0.0603,fail
2025-10-03,10,1,0.3,0.6595,0.5195,0.3610,-0.0050,fail
2025-10-03,3,2,0.3,0.4180,0.5609,0.1195,0.0364,fail
2025-10-03,4,2,0.3,0.4260,0.5715,0.1275,0.0470,fail
2025-10-03,5,2,0.3,0.4390,0.5812,0.1405,0.0567,fail
2025-10-03,6,2,0.3,0.4780,0.6281,0.1795,0.1036,fail
2025-10-03,7,2,0.3,0.5135,0.6393,0.2150,0.1148,fail
2025-10-03,8,2,0.3,0.5485,0.6469,0.2500,0.1223,fail
2025-10-03,9,2,0.3,0.5945,0.5848,0.2960,0.0603,fail
2025-10-03,10,2,0.3,0.6595,0.5195,0.3610,-0.0050,fail
2025-10-03,4,3,0.3,0.4600,0.6260,0.1615,0.1015,fail
2025-10-03,5,3,0.3,0.4645,0.6241,0.1660,0.0996,fail
2025-10-03,6,3,0.3,0.4785,0.6314,0.1800,0.1069,fail
2025-10-03,7,3,0.3,0.5135,0.6400,0.2150,0.1155,fail
2025-10-03,8,3,0.3,0.5485,0.6469,0.2500,0.1223,fail
2025-10-03,9,3,0.3,0.5945,0.5848,0.2960,0.0603,fail
2025-10-03,10,3,0.3,0.6595,0.5195,0.3610,-0.0050,fail
